site_code,site_name,start_date,end_date,duration_years,pct_missing_sea_level,p99_sea_level,p99_total_precip_mm,joint_exceedances,CPR
1359139,Hudson_River_At_Albany_Ny,1987-09-15 20:00:00,2021-04-07 03:00:00,33.55783709787816,2.060671162841292,1.9187349999999976,22.012224239759274,1949,2.712747580511053
763A,Dauphin_Island_AL,1981-03-31 19:00:00,2018-12-31 22:00:00,37.752224503764545,12.239378739348522,1.555,33.4835035311777,2226,3.078625267962105
8539094,Burlington,1981-01-01 00:00:00,2021-08-31 22:00:00,40.662559890485966,2.7006404448047667,7.851,24.16405529730231,938,2.2796848181967135
8513388,Moriches_Cgs,1989-07-18 17:00:00,2014-01-22 17:00:00,24.514715947980836,3.005160611827992,1.4324899999999998,24.61343836784173,89,2.564805693419498
8570283,Ocean_City_Inlet,1997-12-01 00:00:00,2021-07-31 22:00:00,23.66324435318275,3.457135282350389,3.532,23.856239140009052,1382,3.190503733982301
MTB,Middle_River_at_Tracy_Blvd,1987-10-01 09:00:00,2021-06-02 18:00:00,33.67008898015058,2.3021256123755767,2.1824,13.55719858395846,1762,2.458683440826193
565A,Port_San_Luis_CA,1981-01-01 00:00:00,2018-12-31 22:00:00,37.9958932238193,8.38589591557964,3.173,16.507006406687825,1286,1.6864214759524507
8770733,Lynchburg_Landing,1996-01-01 00:00:00,2017-08-29 06:00:00,21.659137577002053,12.777096028356095,2.288,26.039718515465683,528,4.203622401811939
9075014,Harbor_Beach_Mi,1981-01-01 00:00:00,2021-08-02 03:00:00,40.58316221765914,0.09276020643362305,177.431,18.901534378528556,1012,1.1442010532450821
9418767,North_Spit,1981-01-01 00:00:00,2021-07-31 22:00:00,40.577686516084874,1.4134434552339294,6.829,25.568811957597212,2302,2.635882144468028
773A,Clearwater_Bch_FL,1996-01-01 00:00:00,2018-12-31 22:00:00,22.99794661190965,3.1266274184988814,1.62,22.337190976107845,1170,2.4106766100502153
9444900,Port_Townsend,1981-01-01 00:00:00,2021-07-31 22:00:00,40.577686516084874,0.732303142578438,3.892,19.360189258958222,2815,3.1983832859065453
S22_T,BiscayneBay_S22_T,1983-12-14 12:00:00,2020-12-31 22:00:00,37.04859685147159,3.098106712564544,0.8443,16.27101629972425,1659,2.120527758582275
752A,Fort_Pulaski_GA,1981-01-01 00:00:00,2018-12-31 22:00:00,37.9958932238193,0.4776415136822828,3.653,24.114724099636035,1155,1.3961712455291686
8771013,Eagle_Point,1993-08-01 00:00:00,2021-08-31 22:00:00,28.082135523613964,2.1422391557774247,2.148,26.0730990767474,1998,3.337108671821712
8761955,Carrollton,1996-09-24 00:00:00,2021-08-31 22:00:00,24.933607118412045,1.0435013335407222,10.83,25.950842401636027,394,1.22184456067928
8760721,Pilottown,1981-01-01 00:00:00,2021-08-31 22:00:00,40.662559890485966,1.9196512479276013,2.393,29.079413613879932,461,1.9080644089337095
