site_code,site_name,latitude,longitude,country,null_value,start_date,end_date,duration_years,total_rows,sl_valid_count,sl_missing_count,sl_pct_missing,sl_min,sl_max,sl_p95,sl_p99,sl_extreme_values,sl_quality,sl_quality_score,precip_missing_count,precip_pct_missing,precip_max,precip_p95,precip_p99,ground_precip_coverage_pct,precip_quality,precip_quality_score,sl_threshold,precip_threshold,joint_exceedances,sl_exceedances,precip_exceedances,CPR,joint_quality,quality_tier,quality_description,quality_score
9415252,Petaluma_River_Entrance,38.115306,-122.5057,USA,-99.9999,1985-06-21 19:00:00,2014-06-30 22:00:00,29.023956194387406,254428,252291,2137,0.8399232788843995,0.737,3.151,2.8362499999999997,3.00725,0,excellent,5,0,0.0,76.1566191911242,3.727451264759827,15.800645381211812,2.020610939047589,excellent,5,2.8362499999999997,3.727451264759827,35,384,12722,1.8228306935492324,few_joint_events,B,Good - minor issues that can be corrected,90
8661070,Springmaid_Pier,33.655,-78.918306,USA,-99.9999,1981-01-01 00:00:00,2021-08-31 22:00:00,40.662559890485966,356471,337030,19441,5.45373957488828,7.754,11.912,10.673,10.915,0,minor_missing,4,0,0.0,254.0,9.21370685095185,23.93182753066281,2.53007958571665,excellent,5,10.673,9.21370685095185,1135,16199,17824,1.4012856902475197,sufficient_joint_events,B,Good - minor issues that can be corrected,90
8659084,Southport,33.915,-78.0183,USA,-99.9999,1981-01-01 00:00:00,2008-01-30 22:00:00,27.077344284736483,237383,225342,12041,5.0723935580896695,2.715,5.694,4.692,4.892,0,minor_missing,4,0,0.0,163.9490514993618,10.639441758394174,27.398869931689624,3.56680975470021,excellent,5,4.692,10.639441758394174,338,3446,11870,1.9615542433237612,sufficient_joint_events,B,Good - minor issues that can be corrected,90
8571559,Mccready_Aos_Creek,38.3,-76.005,USA,-99.9999,1981-10-19 17:00:00,2010-12-09 13:00:00,29.136208076659823,255429,242505,12924,5.059723054155949,1.61,3.423,2.949,3.088,0,minor_missing,4,0,0.0,129.8672155244276,8.906714618205935,22.827113229141055,0.9873585223291013,excellent,5,2.949,8.906714618205935,337,2969,12772,2.2700268628210267,sufficient_joint_events,B,Good - minor issues that can be corrected,90
S25B,Miami_S25B_T,25.79388889,-80.26194444,USA,-99.9999,1981-01-01 00:00:00,2020-12-31 22:00:00,39.997262149212865,350639,329238,21401,6.103428312309812,-0.6274,1.8676,0.7287,0.8819,0,minor_missing,4,0,0.0,130.9316397233715,5.539328160375536,15.259910106655829,5.207350009553986,excellent,5,0.7287,5.539328160375536,1517,16456,17532,1.8436991658062358,sufficient_joint_events,B,Good - minor issues that can be corrected,90
8726667,Mckay_Bay_Entrance,27.913333,-82.425,USA,-99.9999,1990-12-11 14:00:00,2020-01-31 22:00:00,29.138945927446954,255441,235625,19816,7.7575643690715275,-1.354,2.203,1.021,1.174,0,minor_missing,4,0,0.0,127.3880302904899,5.4491519927637,15.667441487209999,4.119150801946438,excellent,5,1.021,5.4491519927637,987,8728,12772,2.261695380204119,sufficient_joint_events,B,Good - minor issues that can be corrected,90
RVB,Sacramento_River_at_Rio_Vista_Bridge,38.15974,-121.68636,USA,-99.9999,1984-01-01 09:00:00,2021-01-01 07:00:00,36.99931553730322,324359,305101,19258,5.937248542509996,-0.4359,3.2553,1.969,2.1976,0,minor_missing,4,0,0.0,70.3020125627063,2.332485352343377,11.634594678825936,3.088553115529398,excellent,5,1.969,2.332485352343377,2265,15076,16218,3.004766538893775,sufficient_joint_events,B,Good - minor issues that can be corrected,90
GORDO,Gordon_FloridaWestCoast,26.17305556,-81.78444444,USA,-99.9999,1981-01-01 00:00:00,2020-12-31 22:00:00,39.997262149212865,350639,324654,25985,7.410755791569107,-0.5212,1.9751,0.7254,0.8958879999999888,0,minor_missing,4,0,0.0,176.8897205590178,5.286851981537644,15.423080920407955,3.0903578894532555,excellent,5,0.7254,5.286851981537644,1883,15979,17532,2.3568366353586057,sufficient_joint_events,B,Good - minor issues that can be corrected,90
557A,Port_Orford_OR,42.74,-124.497,USA,-99.9999,1981-01-01 00:00:00,2018-12-31 22:00:00,37.9958932238193,333095,295013,38082,11.43277443372011,1.061,5.366,4.272,4.565,0,significant_missing,3,0,0.0,119.1932320593878,9.45845246315,23.646166145758748,8.853029916390218,excellent,5,4.272,9.45845246315,1945,14698,16654,2.646737775982573,sufficient_joint_events,B,Good - minor issues that can be corrected,80
S197,S197_T,25.28666667,-80.44138889,USA,-99.9999,1981-01-01 00:00:00,2020-12-31 21:00:00,39.997262149212865,350638,298887,51751,14.759096275931302,-0.3678,1.6154,0.5608,0.701,0,significant_missing,3,0,0.0,158.5967242717743,5.6,14.535012423972255,5.207364860625488,excellent,5,0.5608,5.6,1073,14694,17466,1.4659704328856793,sufficient_joint_events,B,Good - minor issues that can be corrected,80
S44_T,S44_T,26.81666667,-80.08,USA,-99.9999,1981-01-01 00:00:00,2020-12-31 22:00:00,39.997262149212865,350639,330110,20529,5.8547394899027205,-1.0087,1.4634,0.7413,0.9135,0,minor_missing,4,0,0.0,122.6155757904052,5.633544921874931,14.979437619444594,5.272659344796215,excellent,5,0.7413,5.633544921874931,1302,16495,17532,1.5786556978355502,sufficient_joint_events,B,Good - minor issues that can be corrected,90
9411406,Oil_Platform_Harvest,34.469167,-120.681944,USA,-99.9999,1992-05-14 04:00:00,2020-11-30 22:00:00,28.54757015742642,250267,227269,22998,9.189385736033916,13.008,15.929,15.3,15.532,0,minor_missing,4,0,0.0,82.9712349673172,1.3,9.487592637516345,2.5372901740940677,excellent,5,15.3,1.3,620,8868,12354,1.4163219822045623,sufficient_joint_events,B,Good - minor issues that can be corrected,90
9414764,Oakland_Inner_Harbor,37.795,-122.282,USA,-99.9999,1981-01-01 00:00:00,2011-05-01 23:00:00,30.327173169062284,265872,265129,743,0.27945778419690676,1.012,3.832,3.2040999999999995,3.5148199999999994,0,excellent,5,0,0.0,55.4773726516941,2.5,10.517732649939157,4.397980983330324,excellent,5,3.2040999999999995,2.5,21,108,13119,3.940645882562187,few_joint_events,B,Good - minor issues that can be corrected,90
573A,Arena_Cove_CA,38.913,-123.708,USA,-99.9999,1981-01-01 00:00:00,2018-12-31 22:00:00,37.9958932238193,333095,264369,68726,20.632552274876538,2.027,5.454,4.632,4.879,0,significant_missing,3,0,0.0,117.9807227256901,7.30084806677942,23.550763241731747,2.021945691169186,excellent,5,4.632,7.30084806677942,1717,13177,16655,2.606016888455447,sufficient_joint_events,B,Good - minor issues that can be corrected,80
1407770,Shark_River_At_Belmar_Nj,40.185556,-74.026111,USA,-99.9999,2000-01-29 19:00:00,2021-04-06 13:00:00,21.182751540041068,185707,140891,44816,24.132639049685796,-2.5908,2.5329,0.759,0.9997,0,significant_missing,3,0,0.0,253.7,8.799569044111635,22.7684259414218,3.716068861163015,excellent,5,0.759,8.799569044111635,700,6982,9286,2.0050157591167173,sufficient_joint_events,B,Good - minor issues that can be corrected,80
8770520,Rainbow_Bridge,29.98,-93.881699,USA,-99.9999,1996-01-01 00:00:00,2021-07-31 22:00:00,25.579739904175224,224255,208256,15999,7.134289090544247,0.403,2.383,1.845,2.009,0,minor_missing,4,0,0.0,171.7747092246213,7.034763774191707,23.98636162281028,4.943033600142694,excellent,5,1.845,7.034763774191707,596,3423,11213,3.482247805155211,sufficient_joint_events,B,Good - minor issues that can be corrected,90
8631044,Wachapreague,37.607778,-75.685833,USA,-99.9999,1981-01-01 00:00:00,2021-08-31 22:00:00,40.662559890485966,356471,336239,20232,5.6756370083400896,-0.012,3.409,2.16,2.382,0,minor_missing,4,0,0.0,159.719896414014,8.006419241326,21.560486555068746,3.6600452771754224,excellent,5,2.16,8.006419241326,1428,15711,17824,1.8177887435383298,sufficient_joint_events,B,Good - minor issues that can be corrected,90
VON,Sacramento_River_at_Verona,38.774155,-121.59807,USA,-99.9999,1984-01-13 20:00:00,2021-01-01 07:00:00,36.96646132785763,324060,286143,37917,11.70061099796334,0.7346,10.3632,8.0772,9.589,0,significant_missing,3,0,0.0,90.6880438324151,3.845296054976099,15.481833800672462,1.9227920755415664,excellent,5,8.0772,3.845296054976099,1649,14282,16203,2.309200392101946,sufficient_joint_events,B,Good - minor issues that can be corrected,80
